hero_id,hero,fit,k,separation,item_id,item,imbueable,gap
50,Pocket,families,1,,,,False,
50,Pocket,imbue,1,,,,False,
50,Pocket,conditional,1,,,,False,
52,Mirage,families,2,0.5578845971527925,3005970438.0,Escalating Exposure,False,0.5578845971527925
52,Mirage,imbue,3,0.6250011537219069,84321454.0,Quicksilver Reload,True,0.6250011537219069
52,Mirage,conditional,3,0.6765384615384615,84321454.0,Quicksilver Reload,True,0.6765384615384615
58,Vyper,families,2,0.5828394852129262,3357231760.0,Unstoppable,False,0.5828394852129262
58,Vyper,imbue,1,,,,False,
58,Vyper,conditional,1,,,,False,
60,Sinclair,families,2,0.6779727385641413,787198704.0,Rapid Recharge,False,0.6779727385641413
60,Sinclair,imbue,1,,,,False,
60,Sinclair,conditional,3,0.4568053130945453,787198704.0,Rapid Recharge,False,0.4568053130945453
63,Mina,families,2,0.6321222663381024,343572757.0,Spirit Burn,False,0.6321222663381024
63,Mina,imbue,3,0.6351310133663075,380806748.0,Compress Cooldown,True,0.6351310133663075
63,Mina,conditional,3,0.691567296379678,380806748.0,Compress Cooldown,True,0.691567296379678
64,Drifter,families,3,0.5220004111402231,3190916303.0,Spirit Snatch,False,0.5220004111402231
64,Drifter,imbue,3,0.5522486772486772,84321454.0,Quicksilver Reload,True,0.5522486772486772
64,Drifter,conditional,1,,,,False,
65,Venator,families,2,0.6118184349719111,787198704.0,Rapid Recharge,False,0.6118184349719111
65,Venator,imbue,2,0.5351983703484432,787198704.0,Rapid Recharge,False,0.5351983703484432
65,Venator,conditional,1,,,,False,
66,Victor,families,1,,,,False,
66,Victor,imbue,2,0.8546966399185236,754480263.0,Mystic Expansion,True,0.8546966399185236
66,Victor,conditional,2,0.6555194902392257,380806748.0,Compress Cooldown,True,0.6555194902392257
67,Paige,families,2,0.5185982963337442,787198704.0,Rapid Recharge,False,0.5185982963337442
67,Paige,imbue,3,0.46000099090791435,857669956.0,Guardian Ward,False,0.46000099090791435
67,Paige,conditional,2,0.8787944355200035,1292979587.0,Surge of Power,True,0.8787944355200035
69,The Doorman,families,1,,,,False,
69,The Doorman,imbue,2,0.550558088449702,3577481646.0,Mystic Reverb,True,0.550558088449702
69,The Doorman,conditional,2,0.5492983260249421,3577481646.0,Mystic Reverb,True,0.5492983260249421
