hero_id,hero,gun_routed,k_families,sep_k2,sep_k2_floor,sep_k2_excess,axis_share,slot_family_tv,mean_gun_exposure,rho_spirit_exposure,rho_floor
1,Infernus,True,2,0.6799407846483512,0.029388459577922244,0.6505523250704289,0.6515802690933425,0.2215554248177754,0.3641101115505439,-0.3042225838197488,0.01438726297860733
2,Seven,False,3,0.6594326422608204,0.03169077534287934,0.6277418669179411,0.4320403140858534,0.2692542286576514,0.0,,
3,Vindicta,True,1,0.3733167405136939,0.03412993244478346,0.33918680806891044,0.588074125785531,0.17400292715950463,0.5617222613074823,-0.03599471099066532,0.025225024108335735
4,Lady Geist,False,3,0.8463686276884569,0.04125639628182998,0.8051122314066269,0.758300107320893,0.3366600866880022,0.0,,
6,Abrams,True,2,0.7314982648047699,0.04691377229489152,0.6845844925098783,0.6013644715381515,0.16098349972496653,0.4467367403423119,-0.37731236651987726,0.016508950589759736
7,Wraith,True,1,0.34835832560263874,0.028954458736581867,0.3194038668660569,0.5079968217932974,0.17758782700064615,0.7558876782947587,-0.038229120087151416,0.023446220726789292
8,McGinnis,False,2,0.7842409063548027,0.043938286467738674,0.740302619887064,0.7917632535637541,0.2949873247806426,0.0,,
10,Paradox,True,3,0.7826595982805925,0.044068834372757326,0.7385907639078352,0.6641101808937903,0.3444872966636557,0.4038616572538794,-0.3842121785892112,0.018061884913076198
11,Dynamo,False,2,0.6749814330395562,0.032513803811729525,0.6424676292278266,0.28414970778963067,0.2833803567552739,0.0,,
12,Kelvin,False,2,0.4546088727504657,0.0414030281286919,0.4132058446217738,0.48891336855880746,0.345251967343907,0.0,,
13,Haze,True,3,0.34940846514388424,0.024506282207229224,0.324902182936655,0.5143492781653309,0.18757553610386007,0.3252176235185892,-0.14047026280183555,0.02220213648265261
14,Holliday,True,3,0.7466539589442815,0.05639459107201039,0.6902593678722712,0.7032141091804103,0.3045235274987037,0.117263168246791,-0.45077595366485146,0.03502378335001476
15,Bebop,True,2,0.6558008147528818,0.02573935433289476,0.630061460419987,0.6341807059913657,0.3178031242455746,0.288767254221886,-0.5655065966582058,0.01956330107314958
16,Calico,False,1,0.9261145733197048,0.07904766564276977,0.847066907676935,0.6047194167090019,0.4788703642017399,0.0,,
17,Grey Talon,False,3,0.805849555362293,0.06636780664876885,0.7394817487135241,0.7100027575663311,0.3508275259480176,0.0,,
18,Mo & Krill,False,1,0.31039041827143926,0.03032104408082248,0.2800693741906168,0.3907890154824031,0.42464357647869905,0.0,,
19,Shiv,False,2,0.9227671352822543,0.040339646425750275,0.882427488856504,0.6844342770455263,0.3329895017351903,0.0,,
20,Ivy,True,3,0.7606679727586528,0.03577492569935892,0.7248930470592939,0.7770792355288679,0.273577440061251,0.23960903960266997,-0.6830765344408528,0.020769693507626606
25,Warden,False,2,0.4837820830806012,0.029825201889955633,0.4539568811906456,0.5666933461805542,0.1403329279075165,0.0,,
27,Yamato,False,2,0.5186571490802778,0.03993055489408287,0.47872659418619495,0.3457197878848063,0.37261133145745057,0.0,,
31,Lash,False,3,0.8430752276534444,0.03057177588381249,0.8125034517696319,0.7891622628199028,0.34215434985336696,0.0,,
35,Viscous,False,2,0.8068925501352944,0.03716636120681843,0.7697261889284759,0.2244605894061253,0.27544181317993377,0.0,,
50,Pocket,True,1,0.30032828191957905,0.03186129942221133,0.2684669824973677,0.30568345747740144,0.41486801873779167,0.3579369146558604,-0.10624780452271453,0.022984817313080465
52,Mirage,True,2,0.3251024531024531,0.05182683982683983,0.2732756132756133,0.671683732524574,0.2597865442735381,0.06923086554312338,-0.022647182004264438,0.03439273545095309
58,Vyper,True,2,0.4353204174163617,0.05320426054230265,0.38211615687405903,0.5362797652655104,0.15680436788675048,0.32004327604243993,-0.05115407940362281,0.028145851073421255
60,Sinclair,True,2,0.5467826056477261,0.043430291751533345,0.5033523138961927,0.4512179804148534,0.3115747070959046,0.27063763937170726,-0.2400511875868978,0.04145635357103455
